,class
5433,1
1614,1
607,0
3968,1
4803,1
1093,0
4391,1
2622,0
6578,1
7977,0
7712,0
203,0
2387,0
4291,0
7737,0
837,1
2934,0
7899,1
8057,0
1230,0
6171,1
5483,1
1609,0
7601,1
7851,1
5113,0
6836,1
5780,1
2732,0
7103,0
3412,0
7083,1
5391,1
7029,1
3297,0
3842,0
6200,1
4266,1
6664,1
4141,0
657,0
790,0
4692,1
4951,0
6695,1
2561,0
5641,1
1359,0
5969,1
2347,0
5514,0
4126,1
2781,0
3347,0
5972,1
6173,1
6146,1
8074,0
3601,0
615,0
2575,0
6213,1
2314,0
1705,0
6867,1
6727,1
6931,1
1780,0
3482,0
803,0
857,0
4781,1
5441,1
990,0
5465,1
4296,1
4985,1
5746,1
219,0
6671,1
1288,0
3163,0
582,0
2618,0
43,1
1234,0
7470,1
6093,1
5902,1
7856,1
1892,0
5763,1
7216,1
4657,1
6712,1
1071,1
718,0
2364,0
1505,0
670,0
4687,1
2952,0
4913,1
6497,1
7738,1
897,0
6537,1
2666,0
3193,1
2890,0
7194,1
1530,1
3543,1
6791,1
4679,1
7479,0
7866,0
4237,1
3875,0
3473,1
6199,1
1874,0
2370,0
1769,0
7393,1
4857,1
1983,0
531,0
5829,1
6133,1
7966,0
2881,0
81,1
8042,0
6609,1
6670,1
2163,0
731,0
2339,0
7948,1
2232,0
5062,1
3745,0
7660,1
5151,0
4920,1
3295,1
5235,1
6591,1
2705,0
1255,0
2104,0
7042,1
5304,1
4477,1
898,0
428,0
5627,1
4030,1
6724,1
7354,0
1222,0
3375,0
6301,1
5838,1
5229,1
6584,1
6138,1
1621,0
7256,1
3164,1
4176,0
6485,1
1096,0
2715,0
2072,0
7338,1
7484,1
6408,1
3340,0
6848,1
2588,0
1788,0
7159,1
7572,1
528,0
4149,1
192,0
6985,1
1126,0
3570,1
3509,0
3571,0
304,0
4239,1
1292,0
70,0
3661,1
4647,0
2687,0
3477,1
5946,1
831,0
4104,1
1456,0
2607,0
4977,1
238,0
92,0
2977,0
5958,1
7181,0
5589,1
7047,1
6091,1
6026,1
4294,1
5121,1
1001,0
4209,1
7783,0
2377,0
4556,0
3693,0
6692,1
3246,1
3383,0
1532,1
2410,0
5247,1
411,0
6844,1
7790,0
7333,1
2805,0
7503,1
5983,1
3082,1
7975,0
1736,0
3768,0
5974,1
7411,0
6428,1
6194,0
3501,0
633,0
3021,0
498,0
3855,0
2463,0
6078,1
637,0
720,0
288,0
757,0
3377,0
3504,0
3089,1
6262,1
6046,1
4881,1
449,0
596,0
4317,1
3708,1
1068,0
1942,0
1647,0
4094,1
5351,0
2700,0
1700,0
6542,1
6513,1
4830,1
8026,0
2942,0
6658,1
7059,1
5012,1
2123,0
4215,1
86,0
2308,0
2677,0
5484,1
7586,0
6761,1
2594,1
3790,1
3058,1
1029,0
4080,1
2876,0
5711,0
3574,0
2144,0
4103,0
6412,1
5106,1
1200,0
2025,0
621,0
7389,1
566,0
7087,1
1837,0
1334,0
3992,1
7725,0
2099,0
3946,1
5061,1
4166,1
5614,1
1688,0
745,0
5564,1
5138,1
2187,0
195,0
1152,1
3518,0
5363,1
802,1
4995,1
2350,0
7074,1
5265,1
7356,1
5263,1
2068,0
2907,0
4937,1
6276,1
644,0
7184,1
6096,1
7368,1
3891,0
5656,1
120,1
1777,1
2981,0
4343,1
3074,0
6526,1
6557,1
7095,1
3035,0
2135,0
5647,1
6629,1
134,0
7177,1
4190,1
4423,1
4320,1
5460,1
1162,0
2559,0
62,0
5312,1
7962,1
4379,0
1642,0
4247,1
2467,0
679,0
4630,0
741,0
1211,0
2170,0
6134,1
5563,0
5409,1
2900,0
3258,1
567,0
1873,0
648,0
2596,0
1717,0
7322,1
2843,0
1392,0
6109,1
6383,1
6416,1
6225,1
6883,1
489,0
493,0
690,0
7711,1
602,0
1911,0
5599,0
4092,0
5825,1
5766,1
4140,1
5623,0
5573,1
2366,0
1187,1
274,0
5697,1
4694,1
1361,1
6997,0
1526,0
5677,1
4031,1
8002,0
1551,0
330,1
7641,0
1337,0
4002,0
945,0
6641,1
2250,0
6391,1
801,0
7772,0
2346,0
68,0
6681,1
5784,1
2784,0
1598,0
7834,0
6433,1
7991,0
1503,0
3838,0
150,0
2804,0
5770,1
2086,0
7405,0
2259,0
7713,1
4001,1
6266,1
6425,1
859,1
4074,0
7211,0
6049,1
4890,1
4189,1
7193,1
366,0
1432,1
4373,1
5702,0
1779,0
3774,0
4970,1
6518,1
1818,0
5199,1
841,1
2704,0
1189,0
175,0
4511,1
8079,1
617,0
2093,0
3308,0
5910,1
3491,0
5432,1
82,0
4414,1
3208,1
816,0
1030,0
4908,1
300,0
5231,0
1472,1
283,0
2028,0
7776,0
4990,1
6443,1
2915,0
1813,0
1271,0
5550,1
7207,1
4368,1
6052,1
5154,1
7929,0
3150,0
820,0
2313,0
2008,0
5681,0
2642,0
4382,1
3780,0
7403,1
2305,0
4347,1
5857,1
99,0
4772,1
744,0
7802,1
7800,1
4635,1
480,0
5381,1
7882,0
5747,1
1157,0
6805,1
6811,1
5998,1
1437,1
2414,0
3554,1
4762,1
402,1
7017,1
2195,0
949,1
5558,1
2067,1
4222,1
5696,1
668,0
218,0
3366,1
7822,1
1962,0
4271,1
5889,1
2213,0
2633,0
1659,0
3734,1
5448,1
5389,0
5571,1
2145,0
777,0
2434,0
3066,0
6583,1
5835,0
4652,0
4947,1
1491,1
3545,0
3153,0
3886,0
3806,1
4028,1
6087,1
4714,1
3641,0
517,0
6558,0
4228,1
5793,1
7151,1
7902,1
6220,1
1415,0
568,1
360,0
6486,1
7093,1
5296,1
4235,1
3100,0
4622,1
759,0
3548,0
4450,1
7638,1
7833,0
6592,1
5310,1
214,0
3662,0
5633,1
5901,1
3803,0
4942,1
4961,1
6300,1
1473,0
2244,0
725,1
7710,0
3560,1
49,0
6362,1
6054,1
3130,0
887,0
7111,1
4743,1
2893,0
6492,1
7337,1
516,0
3168,1
2949,0
5359,1
139,0
3939,1
6053,1
2378,0
7135,0
3197,0
4319,1
112,0
3195,0
463,0
7189,1
1233,0
3250,0
594,0
4943,1
6061,1
450,0
6504,1
3277,1
4201,1
4765,1
312,0
7768,1
6032,1
4734,0
4928,1
7666,1
5698,0
451,0
3166,1
3731,0
6193,1
6562,1
3626,0
890,0
6361,1
2763,0
658,0
1506,1
5120,1
4626,1
7604,0
999,1
389,0
3407,0
2330,0
1476,0
2240,0
7300,0
7311,0
6773,1
4056,1
6845,1
2972,0
3386,0
2775,0
1923,0
758,0
700,1
7415,0
1293,1
7166,1
2873,0
6792,1
2535,0
6823,1
1907,0
5609,1
5652,0
368,0
1937,0
4996,0
1151,0
7788,0
5169,0
4262,1
7234,0
3010,0
7988,0
191,0
5968,1
6317,1
174,0
1903,0
1099,1
6858,1
3646,0
3408,0
3898,1
2292,0
7076,1
7895,0
6921,1
7122,1
1164,0
6610,1
7352,0
3915,0
6062,1
5492,0
3664,0
6389,1
1661,0
508,0
166,0
4224,0
7675,1
1006,0
5680,1
3269,1
7350,0
3494,0
4313,1
103,0
3265,1
1111,1
4945,0
2536,1
1104,0
5213,1
1752,0
7255,0
4801,1
3859,1
4157,1
2916,0
5364,1
1658,0
152,0
4471,1
2483,0
1583,1
6829,1
2552,0
7951,1
4050,1
3551,0
3722,0
4441,1
7278,0
3918,1
7796,1
2209,0
4518,1
4912,1
4538,1
2985,0
1822,1
5394,1
6270,1
4663,0
4897,1
7334,0
309,0
212,0
7692,0
7999,0
3599,1
3622,1
5831,1
4456,1
7491,1
3450,0
495,0
5837,1
3256,0
205,1
1434,1
1135,0
2584,0
868,0
2749,1
3613,0
305,0
1849,0
4310,1
4870,1
1988,0
3240,0
2798,0
5840,1
1534,0
3109,1
843,0
1987,1
5597,1
7204,0
1714,0
383,0
1538,0
211,0
3388,1
6519,1
1957,0
6886,1
2438,0
2727,0
4241,1
7733,1
6189,1
1349,0
5671,1
5038,1
3832,0
3580,0
6221,1
680,0
3901,1
180,1
7731,1
862,0
7506,1
4888,0
278,0
3960,1
3319,0
3252,0
2518,0
2480,0
289,0
4035,1
3075,1
6157,1
5200,1
6111,1
993,0
3235,1
2236,0
7583,1
39,0
7683,1
5500,1
5748,0
2754,0
6510,1
4823,1
270,0
6116,1
2883,0
6635,1
5245,1
5330,1
5856,1
7182,0
6314,1
111,0
3218,1
1391,0
2600,0
220,0
4483,1
4905,1
4085,1
4967,1
83,0
873,0
7527,1
5501,1
461,0
7145,1
8111,0
551,0
2201,0
2374,0
6824,1
4275,1
2246,0
7649,0
4787,1
2450,0
3954,1
2329,0
6810,1
2146,0
4715,1
4486,1
7171,1
650,0
7640,0
708,0
6939,1
4339,1
4439,1
4420,1
3063,0
5459,1
3349,1
1424,0
1216,0
6207,1
1924,0
104,0
1064,1
3786,0
314,0
1289,0
5251,1
4526,1
1427,0
4522,1
6394,1
3129,0
4678,1
6572,1
3008,0
6718,1
1105,0
4453,1
5990,1
5011,1
8121,0
4416,1
684,0
5963,1
5239,1
2765,0
3929,1
4771,1
6263,1
5021,1
3682,0
7443,0
4582,1
6329,1
2451,0
4174,1
4404,1
3824,0
326,0
2652,0
6789,1
7862,1
2176,0
4475,1
5577,1
7030,1
3318,0
6980,1
4250,1
4367,1
2787,0
5544,0
5374,1
1676,0
3947,1
7275,1
348,0
5942,1
3226,1
4515,1
7770,1
1626,0
4963,1
2503,0
5874,0
2369,0
871,0
4778,1
2217,0
7344,0
7571,1
2218,0
3326,1
4508,1
7819,1
3583,1
4059,0
6372,1
5454,1
2121,0
5137,1
136,0
6726,1
85,0
6017,1
1877,0
2801,0
3671,0
3667,1
6798,1
2640,0
6950,1
7437,0
2880,0
7803,0
494,0
2019,0
5223,0
2525,0
4885,1
5965,1
6284,1
7129,1
4528,1
2895,0
6273,1
6948,1
3425,1
5860,1
5060,1
5397,1
4127,0
4851,1
2001,0
6073,1
869,0
356,0
5446,1
7934,1
8009,0
1890,0
5774,1
6907,0
3563,0
5515,0
2380,0
7048,1
5668,1
7406,1
3306,1
6296,1
3499,0
4461,1
1116,0
7474,1
6322,1
4490,1
5498,1
7510,0
7957,0
2500,0
4354,1
7213,1
3809,0
5072,1
6127,1
5210,0
7740,0
6067,1
2052,0
1776,0
6251,1
3313,1
5845,1
5852,1
1592,0
1723,0
7376,0
4377,1
5538,0
490,0
6827,0
3483,1
3431,0
4210,1
5140,1
25,1
7229,0
2409,0
3270,1
1552,0
7005,0
6081,1
3871,1
3402,1
979,0
2655,0
1847,0
5307,1
5521,1
5871,1
6044,1
6795,1
1102,0
3276,1
7823,0
6825,1
5662,1
3996,1
194,0
643,0
3285,0
3116,0
3575,0
6659,1
2207,0
3718,1
972,0
719,0
8123,0
3896,0
2803,0
2566,1
4025,1
32,0
6393,1
4063,1
6553,1
1697,0
2792,0
2222,0
3764,0
3866,0
6149,1
6540,1
4467,1
4738,1
3758,1
5419,1
3227,1
5201,1
5710,1
3904,1
2277,0
4561,1
1401,0
739,0
7348,1
7381,1
6101,1
5462,1
4348,1
5395,1
674,0
4264,1
3841,0
1815,0
5659,1
8007,1
6942,1
4886,1
2100,0
6839,1
2101,0
4213,1
4660,1
1548,0
4287,1
3323,1
5257,0
355,0
1461,0
7199,1
3220,0
6509,0
5255,1
1751,0
5335,0
5067,1
1772,0
1196,0
1878,0
2668,0
8107,0
2016,0
2005,0
3893,0
3237,0
2078,0
396,0
2788,0
7020,0
4072,1
5705,1
4838,1
1519,0
5848,1
1378,1
1023,0
2587,0
5096,1
2857,0
7825,0
1629,1
3523,0
5676,1
3607,1
7251,0
234,0
5171,1
3796,1
4118,1
3800,0
5033,1
7396,1
1948,0
7217,0
5037,1
3492,1
2671,0
6759,1
2224,0
1106,1
6693,1
818,0
6328,1
6260,1
7992,1
888,0
2437,0
817,0
3414,0
2341,0
6669,1
3167,0
6216,1
7065,1
1264,0
7494,1
6142,0
6900,0
1228,1
4862,0
52,0
4894,1
5741,0
159,0
6631,1
1587,0
1589,0
4994,1
6853,1
7613,1
3858,1
4949,1
2828,0
436,0
5938,0
3878,1
1588,0
2780,0
6602,1
5995,1
5981,1
973,0
1238,0
2951,0
2342,0
5590,1
6934,1
1497,0
4257,1
2422,0
7210,1
7156,1
6994,0
2092,0
2015,0
6716,1
5929,1
187,0
4594,1
3655,0
3426,1
4812,0
1381,0
4979,1
413,0
3336,0
3606,1
7617,0
5925,1
7008,0
256,0
5434,0
7965,0
2235,0
1767,0
4236,1
5814,0
1572,0
24,0
6422,1
1088,1
2694,0
5057,1
3398,0
3559,1
6859,1
2841,1
2311,0
7138,1
7717,0
4152,1
1309,0
695,0
7543,0
3752,0
1227,0
1999,0
276,0
4532,1
7699,0
6438,1
7220,0
7884,1
7655,1
8089,1
4704,1
1137,0
2767,0
5452,1
6368,1
942,1
8022,1
3935,1
2384,0
115,0
5683,0
8082,1
3119,1
4258,1
7936,1
5849,0
2819,0
3822,1
6760,1
6512,1
3802,0
3536,1
3825,0
6123,1
1946,0
4773,1
3488,1
1610,0
8059,1
2194,0
5329,1
557,0
7154,1
1207,1
4707,1
4883,1
1510,0
3829,1
3732,0
5303,1
3211,1
3630,1
5552,1
5556,0
266,0
1140,0
3162,1
6708,1
7463,0
1909,0
5587,1
6924,0
656,0
5758,1
7556,1
998,0
4958,1
2834,0
6899,1
1237,0
6763,0
8046,0
6209,1
2186,0
1134,0
1303,0
1627,0
5595,1
1522,0
358,0
138,1
299,1
1556,0
382,0
6018,1
4880,1
6464,1
5908,1
6524,1
6569,1
5607,1
6974,1
2721,0
1932,0
4953,1
7302,1
7347,1
4163,1
6866,1
3807,0
6936,1
4672,1
4154,0
4172,1
796,0
2416,0
785,1
3158,0
123,0
2172,0
5875,0
5824,1
4340,1
910,0
2309,0
7607,1
3634,0
1257,0
4458,1
1178,0
3650,0
442,0
6234,1
1399,1
1457,0
5017,1
1054,0
3275,0
6236,1
3699,1
3759,0
929,0
7782,0
1829,0
6880,1
4221,1
7448,1
6539,1
5400,1
2011,0
6165,1
5532,1
7789,1
2606,0
3264,1
6147,0
5403,1
6,0
2980,0
3361,0
1943,0
5119,1
7477,1
6864,1
6243,1
5214,1
7472,1
3134,0
5339,1
2242,0
1474,0
6037,1
1889,0
3435,1
5065,1
3705,0
2021,0
4020,1
6392,1
5803,1
6257,1
2658,0
1130,1
7707,1
7355,1
4993,0
4318,1
7875,1
4144,1
1236,0
7864,1
7296,1
2282,0
5517,1
7108,1
4093,0
4726,1
6903,1
386,0
1628,1
3585,0
2714,0
6131,1
5940,1
7110,0
3189,0
4305,0
909,1
6143,1
1866,0
1842,0
2497,0
6647,1
5271,0
7758,1
4006,0
2702,0
6676,1
331,0
4775,1
4800,1
2459,0
1774,0
5882,1
6350,1
2686,0
6846,1
7173,0
5672,1
5979,1
6259,1
6500,1
7714,1
6118,1
173,0
4615,1
3321,0
4727,1
3372,1
3311,0
7054,0
5058,1
6369,1
5916,0
3403,1
18,1
3691,0
6137,1
4096,0
3628,0
6431,1
2174,0
1356,0
6751,1
7365,1
3112,0
182,0
6346,1
6424,0
1812,1
5250,1
1800,0
2429,0
6274,1
5009,1
7009,0
5664,0
5410,1
7744,0
4650,1
1159,0
1213,0
1325,0
7872,0
1455,0
5522,0
6218,1
1644,0
2140,0
4536,1
4457,1
6559,1
4378,1
729,0
4357,0
1936,0
3793,0
7580,1
7001,1
7611,1
1110,0
6596,1
2998,0
2394,0
1185,0
2007,0
193,0
6633,1
578,0
771,0
2395,0
8043,0
1846,0
6790,1
4274,1
3740,0
4600,1
5221,0
6488,1
2073,0
1896,0
6145,1
3659,0
2379,0
1447,0
342,0
7750,1
2527,0
727,0
4577,1
976,0
8115,0
3516,0
5313,0
7792,1
3940,1
1299,0
7458,1
660,0
1492,0
5487,0
6651,1
5948,0
2315,0
7540,0
7480,1
1085,0
7663,1
3198,0
5502,0
5516,1
67,0
6455,1
2269,0
5740,1
4903,1
6400,1
3447,1
2367,0
4836,1
5428,1
2512,1
2723,0
6911,1
7704,0
1143,0
7709,1
4832,1
6961,1
4728,1
6876,1
3789,0
2220,0
2331,0
4962,1
5369,1
7132,1
4088,1
1967,0
6354,1
7501,1
4365,1
423,0
7034,1
1904,0
7369,1
3917,1
3618,0
839,0
4596,1
6495,1
141,0
6703,1
1377,0
3674,0
6868,1
7958,0
4741,1
3808,1
1138,0
2257,0
1787,0
3938,0
7240,1
7478,1
459,0
7426,1
948,0
3700,0
1336,0
4628,1
6466,1
1602,0
2238,1
639,0
7837,1
3830,0
5318,0
5620,0
7262,1
1070,0
155,0
2295,0
5184,1
4578,1
1089,0
2940,0
6862,1
4384,1
930,0
2909,0
6573,1
7450,0
3247,0
7377,0
6840,1
5960,1
7196,1
7548,0
7570,0
1698,0
7644,0
8075,0
7883,1
3831,1
7401,1
7465,1
985,0
1821,0
7142,1
587,0
7745,0
6106,1
7395,1
8070,1
5164,1
6446,1
3557,1
1395,0
264,0
3547,1
6089,1
7413,0
6752,0
3864,1
6737,1
2400,1
7453,1
3711,0
246,0
1594,0
7891,1
5553,0
923,0
5035,1
7544,1
669,0
3604,1
1910,0
5669,0
3958,0
2696,0
2591,0
1781,0
3013,1
2307,0
4866,1
3690,0
687,0
612,0
3200,0
2267,0
7784,1
6176,1
1898,0
6992,1
258,0
2924,0
2822,0
3339,1
3525,1
4563,1
2285,1
6857,1
484,0
2211,0
5382,0
2555,0
7,0
3657,0
6878,1
4874,1
4402,1
2426,1
1814,0
8081,1
2274,0
1011,0
5503,0
1067,0
1991,0
3970,1
5782,1
7078,1
3867,0
7247,1
3048,0
781,0
7879,1
1749,0
2791,0
1091,0
7979,0
6860,0
6909,1
6587,1
2608,0
6656,1
2290,0
1727,0
610,0
4666,1
343,0
7838,0
6334,1
3750,1
5819,1
7089,0
3215,0
97,0
5112,1
1537,1
3588,0
3648,1
6463,1
5080,1
1517,0
7149,1
4624,1
4272,1
3669,0
2090,0
572,0
7942,1
6156,1
6739,1
3062,1
5155,1
5887,1
5284,0
5267,1
5440,1
4479,1
7752,0
370,0
1938,0
5753,1
7007,1
3670,1
3652,1
2361,0
4260,1
5070,0
7318,1
3737,1
5014,1
5608,0
5643,1
1171,0
5294,1
1422,0
7287,1
7150,1
5341,1
874,0
2297,0
2643,0
7931,0
840,0
581,0
204,0
1641,0
2014,0
3253,1
5026,1
905,0
631,0
5768,1
7327,0
1974,0
162,0
5548,1
7295,1
5176,0
4713,1
875,0
1431,0
4643,1
6834,1
5082,1
7566,0
2856,0
1861,0
2659,0
3384,0
7627,0
7778,1
5378,0
4733,1
3331,1
6639,1
6114,1
5670,1
2096,0
2003,0
5527,1
546,0
1449,0
6923,1
2610,0
1900,0
6399,1
2757,0
1885,0
7846,1
2097,0
7064,1
7294,1
836,0
3471,0
4697,1
6460,1
2171,0
6976,1
6908,1
398,0
2010,0
7798,1
1283,0
5733,0
5943,1
4256,1
1836,0
1019,0
1326,0
5044,1
475,0
2810,0
6547,1
1651,0
7536,1
6935,1
2528,0
1206,0
5285,0
7195,0
6250,1
5130,1
867,0
2974,0
541,0
1132,1
7865,1
6405,1
3390,1
7956,0
2962,0
4155,0
3259,1
7754,1
8019,0
2583,0
2813,0
6302,1
7036,0
5598,0
3586,0
6972,1
5321,1
6904,0
2630,0
6503,1
5185,0
5036,1
1080,0
4283,0
2085,0
2452,0
4966,0
2023,0
5371,0
7659,0
226,0
1013,0
1929,0
5737,0
1404,0
2179,0
697,1
1124,0
3895,1
1778,1
8118,1
2634,0
3489,0
1037,0
2256,0
6794,1
8028,1
313,0
2649,0
2281,0
5827,1
2547,0
2159,0
3137,0
6746,1
3967,1
1428,0
5771,1
2520,0
5227,1
5884,1
6011,1
448,0
5133,1
1284,0
3727,0
361,0
7331,1
6472,1
2460,0
22,0
2066,0
1653,0
702,0
7100,1
2743,0
1376,0
6599,0
2468,0
3754,1
2325,0
460,0
4183,0
4082,1
1486,0
3678,0
282,0
4558,1
4308,1
4865,1
3537,0
5716,1
2581,0
1368,0
7325,0
5456,1
597,0
4351,1
6595,1
4758,1
8062,1
7653,1
7282,1
3468,1
5198,1
2990,1
7227,1
7963,1
2544,0
6043,1
5955,1
4066,1
3988,1
7842,0
685,0
5485,1
3243,1
6943,1
4083,1
2837,0
3697,1
4941,1
7121,1
4040,1
2230,0
5934,1
2320,0
4878,1
521,0
522,0
6341,1
6535,1
6532,1
7188,0
780,0
6352,1
5508,1
651,0
6063,1
2196,0
369,0
5331,1
4214,1
377,0
5717,1
2216,0
6186,1
1613,1
7288,1
3632,1
962,0
7308,1
7623,0
6192,1
5509,1
359,0
3839,0
6705,1
1246,0
5673,1
5087,0
3694,1
6852,1
2567,0
3423,0
2037,0
772,0
7462,1
3562,0
7686,1
7423,1
5380,1
4531,1
1674,0
365,0
5340,0
7224,1
4327,1
147,0
7139,1
3088,0
7561,0
407,0
7499,0
3456,0
4182,1
3576,0
3271,0
4940,1
1031,1
5325,0
855,0
3926,1
78,1
2247,0
6022,1
7417,1
7467,0
6286,1
5594,1
788,1
2279,0
4095,0
3897,0
6554,1
6742,1
3631,0
6086,1
424,0
392,0
6069,1
7667,1
4200,1
2672,0
7429,1
5494,1
3493,0
1459,1
7488,1
6421,1
6006,1
3835,1
8044,0
6289,1
8085,0
4724,1
6560,1
2355,0
8023,1
2442,0
5499,1
7451,1
6318,1
464,0
163,0
7028,1
7274,1
7780,1
8053,1
2009,1
3084,0
900,0
6356,1
4837,1
2293,0
