,bruises,odor,ring-number,ring-type,spore-print-color,population,habitat,cap,gill,stalk
2462,1,5,1,4,2,5,0,-0.5767254980670828,0.35288395537379746,-0.21683429470917706
5141,0,2,1,0,7,4,4,-0.4025213144518212,-2.0421267634770066,-0.010755008837914495
268,1,0,1,4,3,3,3,2.2505426474569252,0.16322557939206617,-1.020547991730168
654,1,6,1,4,2,4,5,0.2942954200092241,-0.14554300365969353,-1.198062696213186
3289,1,5,1,4,2,5,0,-0.5226976794893742,0.7322007073372602,-0.2058667333528342
7063,1,5,2,4,7,5,4,-0.6222822701180812,1.301175835282454,-0.8430332872471509
3782,1,5,1,4,3,4,0,-0.5226976794893742,1.301175835282454,-1.0907567707006371
4987,0,2,1,2,1,4,1,0.46849960362448534,0.7322007073372602,1.4699559981500512
3315,1,5,1,4,3,4,0,0.8334019219704508,1.301175835282454,-0.2058667333528342
589,1,0,1,4,2,2,3,0.2942954200092241,0.35288395537379746,-1.020547991730168
3872,0,1,1,4,3,4,0,-1.7586209159116462,-0.7145181316048876,-0.8430332872471509
4693,0,2,1,2,1,5,1,-0.7133958142200783,0.7322007073372602,0.8818572334775732
6906,0,5,2,4,7,2,1,-0.030605690656914895,1.8623206534617112,-0.1344226114162668
6304,0,7,1,0,7,4,0,0.14359849295834642,-2.0421267634770066,0.5203409625099515
7928,0,7,1,0,7,4,4,0.5375636322398677,-2.0421267634770066,-0.5961118831713068
5224,0,5,1,0,7,4,0,1.9476910522774011,-0.14554300365969353,0.2939712679401839
3795,1,5,1,4,2,4,0,1.0076061055857122,0.35288395537379746,-1.0880148803615513
1808,1,5,1,4,2,5,0,-0.5767254980670828,0.7322007073372602,0.07721508762706197
6989,0,5,1,4,3,1,2,1.5537259129958796,1.8900318162055154,0.5051951659026519
3032,1,5,1,4,2,5,0,-0.5226976794893742,1.1115174593007227,0.07721508762706197
7258,0,5,2,4,7,3,1,-0.8185359692199575,0.34505364560786106,-0.665518582764133
677,1,3,1,4,3,5,1,-0.4025213144518212,0.35288395537379746,-1.9066733720440707
4513,0,2,1,2,1,5,0,1.8786270236620188,-0.026432796589665127,2.052570982144358
5461,0,7,1,0,7,4,0,-0.4025213144518212,-2.0421267634770066,-0.3794042045306674
3454,0,1,1,4,3,3,0,-0.8875999978353397,0.22594343853783255,-0.8430332872471509
5570,1,5,2,0,7,1,6,-0.4025213144518212,-0.4057495485531277,0.8047283289170621
4751,0,2,1,2,1,4,0,-0.5767254980670828,-0.026432796589665127,1.4644722174718798
7044,0,7,1,0,7,4,0,1.0076061055857122,-2.0421267634770066,-0.5961118831713068
2432,1,5,1,4,3,5,0,-1.7586209159116462,1.301175835282454,-0.2058667333528342
4230,0,2,1,2,1,5,0,-1.7586209159116462,-0.026432796589665127,3.2287685114893145
4076,0,5,1,1,1,5,0,1.530218656431496,-1.4731516355318124,0.3966733599315991
4898,0,5,1,1,1,5,0,-0.054112947221298606,-0.7145181316048876,0.3966733599315991
7358,0,5,2,4,7,2,1,-0.8185359692199575,1.2933455255165174,-0.665518582764133
4747,0,2,1,2,1,5,4,0.6967316058174551,-0.21609117257139643,2.6461535274950068
2627,0,1,1,4,3,4,0,-1.7586209159116462,-1.662810011513544,-0.8430332872471509
1611,0,5,1,0,3,0,1,1.3104577007652365,1.2933455255165174,0.5419736211188371
7249,0,8,1,0,7,4,4,0.18915526500934482,-2.0421267634770066,-0.010755008837914495
7309,0,5,2,4,7,3,1,-0.8875999978353397,0.34505364560786106,-0.05708090772066722
7219,0,2,1,0,7,4,2,-0.20480987427217634,-2.0421267634770066,-0.9105001758785335
5077,0,2,1,2,1,4,4,0.6967316058174551,-0.026432796589665127,3.217800950132971
2716,1,5,1,4,3,5,0,-1.9328250995269078,0.7322007073372602,-0.796707388364398
8003,0,5,1,4,4,4,2,0.6136409663041908,1.8900318162055154,0.5051951659026519
3365,0,1,1,4,3,3,0,-1.4102125486811237,-1.1016651933342867,-0.8430332872471509
605,1,0,1,4,2,2,1,2.2505426474569252,0.35288395537379746,-1.020547991730168
5386,0,5,1,0,7,4,2,-0.4025213144518212,0.4156018145195639,2.318182152544229
4047,1,5,1,4,2,4,0,1.0076061055857122,0.7322007073372602,-0.21683429470917706
1468,0,5,1,0,2,0,1,-0.34849349587411305,0.5347120215895923,-1.7370936716638257
7952,1,5,2,4,7,4,4,0.09102841545840691,1.301175835282454,-0.8430332872471509
3937,1,5,1,4,2,4,0,-0.5226976794893742,1.1115174593007227,0.959363234635779
5964,0,5,1,0,7,4,0,-0.644331785604696,-0.14554300365969353,-0.8822262614047723
7130,0,8,1,0,7,4,0,0.18915526500934482,-2.0421267634770066,-0.913242066217619
5007,0,2,1,2,1,5,1,1.8786270236620188,-0.21609117257139643,2.629702185460493
3892,0,2,1,2,1,4,1,-1.7586209159116462,-0.21609117257139643,3.2287685114893145
2155,1,5,1,4,3,4,0,-1.7586209159116462,0.7322007073372602,0.07721508762706197
2905,1,5,1,4,2,4,0,-0.5767254980670828,1.301175835282454,-1.3820642626977904
7813,0,5,1,4,4,1,2,0.6136409663041908,3.027982072095903,0.5051951659026519
2077,1,5,1,4,3,5,0,1.0076061055857122,1.301175835282454,-1.3820642626977904
5064,1,2,1,4,1,3,1,-0.08317576815685446,0.7322007073372602,0.897003030084873
4606,0,2,1,2,1,4,0,0.46849960362448534,0.7322007073372602,2.629702185460493
4205,0,2,1,2,1,5,0,-0.7133958142200783,0.7322007073372602,4.393998479477928
4847,0,2,1,2,1,5,4,0.46849960362448534,-0.026432796589665127,3.2287685114893145
584,1,0,1,4,2,3,1,1.8786270236620188,1.301175835282454,-1.9066733720440707
3550,1,5,1,4,2,4,0,-0.17428931225885164,1.1115174593007227,-0.21683429470917706
5839,0,5,1,1,1,4,0,0.12009123639396276,-0.14554300365969353,0.3966733599315991
3852,0,1,1,4,2,3,0,-0.6222822701180812,-0.7145181316048876,-0.8430332872471509
2882,1,5,1,4,2,4,0,-0.4025213144518212,1.301175835282454,-1.0880148803615513
6292,0,7,1,0,7,4,0,-0.7964864537333425,-2.0421267634770066,-1.2045495582147725
5192,0,7,1,0,7,4,0,-0.4025213144518212,-2.0421267634770066,-1.2045495582147725
4173,0,2,1,2,1,5,4,0.6967316058174551,-0.21609117257139643,4.393998479477928
4148,0,2,1,2,1,4,0,0.8334019219704508,0.7322007073372602,3.217800950132971
6632,0,2,1,0,7,4,0,0.6591977383551894,-2.0421267634770066,-0.5961118831713068
6160,0,2,1,0,7,4,0,-1.144894820963865,-2.0421267634770066,-0.6191926838813802
7821,0,2,1,0,7,4,4,0.18915526500934482,-2.0421267634770066,-0.9105001758785335
2550,1,5,1,4,2,4,0,-0.4025213144518212,1.1115174593007227,0.08544075864431919
5728,1,2,1,4,1,4,5,0.4394367826889296,0.7322007073372602,-1.3820642626977904
344,1,3,1,4,3,3,1,2.8187119703537076,-0.21609117257139643,-1.020547991730168
6409,0,2,1,0,7,4,0,-0.7509296816823438,-2.0421267634770066,-0.0880967125335141
6781,0,8,1,0,7,4,4,0.6136409663041908,-2.0421267634770066,0.2290334705127982
5817,0,8,1,0,7,4,2,-0.4025213144518212,-2.0421267634770066,-0.5961118831713068
7624,0,8,1,0,7,4,2,0.14359849295834642,-2.0421267634770066,-0.38214609486975315
5808,1,2,1,4,1,3,5,-1.4933031881943875,-0.026432796589665127,-1.3820642626977904
6291,0,7,1,0,7,4,4,0.2652325990736682,-2.0421267634770066,-0.010755008837914495
5099,0,2,1,2,1,4,4,0.46849960362448534,-0.21609117257139643,4.393998479477928
2833,1,5,1,4,2,5,0,-0.17428931225885164,0.35288395537379746,-0.796707388364398
90,0,5,1,4,3,5,5,-1.584416732296385,-1.09383488356835,-1.198062696213186
6179,0,8,1,0,7,4,2,0.2652325990736682,-2.0421267634770066,-0.913242066217619
4295,0,2,1,2,1,4,1,-0.34849349587411305,0.7322007073372602,3.2287685114893145
5041,0,7,1,0,7,4,2,-0.4025213144518212,-2.0421267634770066,-0.06501591182344083
3443,0,1,1,4,3,4,0,-1.4102125486811237,-0.1533733134256301,-0.8430332872471509
2117,1,5,1,4,2,4,0,-0.5767254980670828,0.35288395537379746,0.07721508762706197
4307,0,2,1,2,1,4,0,0.8334019219704508,-0.21609117257139643,1.4644722174718798
7303,0,7,1,0,7,4,4,-0.20480987427217634,-2.0421267634770066,-0.06501591182344083
7853,0,7,1,0,7,4,2,0.18915526500934482,-2.0421267634770066,-0.6191926838813802
3378,1,5,1,4,2,4,0,0.6591977383551894,1.301175835282454,0.959363234635779
947,1,3,1,4,2,3,1,2.6445077867384463,1.301175835282454,-1.020547991730168
3182,0,1,1,4,2,3,0,-0.8875999978353397,-1.09383488356835,-0.8430332872471509
7805,0,4,0,3,7,1,0,-0.4025213144518212,1.301175835282454,2.5689349579657863
6139,0,2,1,0,7,4,2,0.6136409663041908,-2.0421267634770066,-0.9105001758785335
883,1,3,1,4,2,2,1,0.2942954200092241,0.35288395537379746,-1.020547991730168
4710,0,2,1,2,1,4,1,-0.5767254980670828,-0.21609117257139643,4.393998479477928
6675,0,2,1,0,7,4,0,0.6136409663041908,-2.0421267634770066,-0.38214609486975315
4716,0,2,1,2,1,4,4,0.6967316058174551,-0.026432796589665127,1.4699559981500512
2939,1,5,1,4,2,5,0,-0.4025213144518212,1.1115174593007227,0.959363234635779
7276,0,5,2,4,7,3,1,0.8404152274193919,1.8623206534617112,-0.05708090772066722
7447,0,7,1,0,7,4,4,0.18915526500934482,-2.0421267634770066,-0.06501591182344083
6001,0,7,1,0,7,4,0,0.2652325990736682,-2.0421267634770066,-0.010755008837914495
5427,0,2,1,2,1,5,4,-0.7133958142200783,-0.026432796589665127,1.4699559981500512
6406,0,5,2,4,7,3,1,1.4626123688938824,1.8623206534617112,-0.1344226114162668
5412,0,2,1,2,1,4,4,1.8786270236620188,-0.026432796589665127,1.4699559981500512
5820,1,5,2,0,7,1,6,-0.7964864537333425,1.301175835282454,2.261265788902829
5701,0,2,1,2,1,5,4,1.8786270236620188,-0.21609117257139643,3.217800950132971
2415,1,5,1,4,2,5,0,-0.4025213144518212,0.7322007073372602,-0.796707388364398
7273,0,5,2,4,7,2,1,-0.030605690656914895,0.34505364560786106,-0.665518582764133
6161,0,7,1,0,7,4,2,-1.144894820963865,-2.0421267634770066,0.2290334705127982
5666,0,5,1,0,7,4,2,0.014951081394083694,0.4156018145195639,2.318182152544229
5458,1,2,1,4,1,3,5,1.3104577007652365,-0.026432796589665127,-0.16518891261085913
4198,0,1,1,4,2,4,0,-1.7586209159116462,-0.5326900653890926,-0.8430332872471509
7730,0,2,1,0,7,4,4,-0.20480987427217634,-2.0421267634770066,-0.9105001758785335
2398,1,5,1,4,3,5,0,-0.7509296816823438,1.1115174593007227,0.959363234635779
4690,0,2,1,2,1,5,1,-0.5767254980670828,-0.026432796589665127,1.4644722174718798
1710,0,5,1,0,2,0,1,-0.8875999978353397,1.2933455255165174,0.5419736211188371
7485,0,4,0,3,7,1,0,0.6591977383551894,3.027982072095903,2.5689349579657863
4782,0,2,1,2,1,5,1,-0.7133958142200783,0.7322007073372602,3.2287685114893145
1186,0,5,1,0,2,0,1,0.4394367826889296,0.5347120215895923,-1.7370936716638257
3945,1,5,1,4,3,4,0,0.8334019219704508,1.1115174593007227,-0.2058667333528342
7801,0,4,0,3,7,1,0,0.48499355473992817,2.838323696114173,2.5689349579657863
5846,1,2,1,4,1,3,1,-0.9706906373486036,0.7322007073372602,0.897003030084873
6182,0,2,1,0,7,4,0,0.6136409663041908,-2.0421267634770066,-0.3048043911741535
7943,0,2,1,0,7,4,4,0.5375636322398677,-2.0421267634770066,-0.3048043911741535
151,0,5,1,0,3,0,1,-0.7964864537333425,1.2933455255165174,-0.5202183215768948
915,1,0,1,4,3,2,1,-0.09966971927229715,0.16322557939206617,-1.020547991730168
1305,0,5,1,0,3,3,1,0.4394367826889296,0.5347120215895923,-1.7370936716638257
5071,1,5,2,0,7,1,6,-1.144894820963865,-0.4057495485531277,-0.665518582764133
5283,0,5,1,1,1,5,0,1.7044228400467576,-0.3352013796414249,0.3966733599315991
7836,0,5,1,4,3,1,2,0.6136409663041908,3.027982072095903,0.5051951659026519
4789,0,2,1,2,1,5,4,0.46849960362448534,-0.026432796589665127,4.393998479477928
5362,1,5,2,0,7,1,6,0.6136409663041908,-0.4057495485531277,2.261265788902829
1398,0,5,1,0,3,3,1,0.4394367826889296,1.2933455255165174,-0.674901728968094
2519,1,5,1,4,3,5,0,-0.5767254980670828,1.1115174593007227,-0.796707388364398
183,1,0,1,4,3,3,3,0.07453446434296443,-0.21609117257139643,-1.020547991730168
3651,1,5,1,4,2,4,0,1.0076061055857122,0.7322007073372602,-1.0880148803615513
3316,1,5,1,4,3,5,0,-0.34849349587411305,1.301175835282454,-0.796707388364398
4081,0,2,1,2,1,5,4,-0.5767254980670828,0.7322007073372602,1.4644722174718798
2417,1,5,1,4,2,5,0,-0.4025213144518212,1.1115174593007227,-0.21683429470917706
471,1,0,1,4,2,2,3,0.2942954200092241,1.301175835282454,-1.020547991730168
967,1,5,1,4,2,5,0,-1.584416732296385,0.35288395537379746,-1.0880148803615513
5418,1,2,1,4,1,4,5,1.3104577007652365,0.7322007073372602,-0.16518891261085913
7867,0,5,2,4,7,3,1,-0.9706906373486036,0.34505364560786106,-0.05708090772066722
209,1,0,1,4,2,2,1,2.6445077867384463,1.301175835282454,-1.020547991730168
1961,0,5,1,0,2,3,1,-1.7586209159116462,0.5347120215895923,-0.674901728968094
896,1,0,1,4,2,2,1,2.8187119703537076,0.16322557939206617,-1.020547991730168
6159,0,7,1,0,7,4,0,-1.144894820963865,-2.0421267634770066,-1.2045495582147725
2650,1,5,1,4,3,5,0,0.6591977383551894,0.35288395537379746,0.08544075864431919
4974,0,2,1,2,1,5,0,0.8334019219704508,-0.026432796589665127,2.629702185460493
1773,1,0,1,4,3,3,1,0.46849960362448534,0.16322557939206617,-1.020547991730168
7652,0,5,1,4,0,1,2,0.6136409663041908,1.8900318162055154,0.5051951659026519
2299,1,5,1,4,2,4,0,-0.5767254980670828,0.7322007073372602,-0.796707388364398
1209,0,5,1,0,3,3,1,-0.8875999978353397,1.2933455255165174,-1.7370936716638257
4353,0,2,1,2,1,5,0,0.8334019219704508,-0.21609117257139643,3.217800950132971
4640,0,2,1,2,1,4,1,-0.5767254980670828,-0.026432796589665127,1.4644722174718798
1270,0,5,1,0,2,3,1,0.4394367826889296,0.9140287735530548,-0.5202183215768948
1251,1,5,1,4,3,4,0,-1.584416732296385,0.35288395537379746,-1.3820642626977904
7596,0,7,1,0,7,4,0,0.14359849295834642,-2.0421267634770066,-0.0880967125335141
2758,1,5,1,4,2,5,0,-0.17428931225885164,0.7322007073372602,-1.0907567707006371
7693,0,8,1,0,7,4,0,0.14359849295834642,-2.0421267634770066,-0.38214609486975315
4902,0,2,1,2,1,5,1,1.8786270236620188,0.7322007073372602,1.4644722174718798
7052,0,2,1,0,7,4,2,0.5375636322398677,-2.0421267634770066,-0.06501591182344083
292,1,3,1,4,2,3,3,0.07453446434296443,0.35288395537379746,-1.020547991730168
8031,0,2,1,0,7,4,4,0.18915526500934482,-2.0421267634770066,-0.0880967125335141
1051,1,5,1,4,2,5,0,-1.584416732296385,1.1115174593007227,0.959363234635779
4342,0,2,1,2,1,5,4,0.6967316058174551,-0.026432796589665127,2.052570982144358
3382,1,5,1,4,3,5,0,-0.7509296816823438,1.301175835282454,-1.0880148803615513
272,1,3,1,4,3,3,1,0.2942954200092241,0.16322557939206617,-1.020547991730168
2042,0,5,1,0,3,3,1,-1.584416732296385,0.7243703975713236,0.5419736211188371
4306,0,2,1,2,1,5,0,0.8334019219704508,-0.026432796589665127,2.6461535274950068
7134,0,5,2,4,7,3,1,-0.030605690656914895,1.2933455255165174,0.47401506362719864
5006,0,2,1,2,1,4,1,-0.7133958142200783,-0.21609117257139643,2.052570982144358
3080,1,5,1,4,3,5,0,0.8334019219704508,1.1115174593007227,-0.21683429470917706
1086,1,3,1,4,3,2,3,2.6445077867384463,0.35288395537379746,-1.020547991730168
4864,0,2,1,2,1,5,1,0.8334019219704508,-0.026432796589665127,0.8818572334775732
6478,0,7,1,0,7,4,0,-1.144894820963865,-2.0421267634770066,-0.6734535868669065
5704,1,5,2,0,7,1,6,0.18915526500934482,1.301175835282454,0.7910188772216338
5822,1,2,1,4,1,4,5,-0.09966971927229715,1.301175835282454,0.897003030084873
2812,1,5,1,4,3,4,0,-0.5767254980670828,0.7322007073372602,-1.3820642626977904
5407,1,2,1,4,1,3,1,-1.4933031881943875,1.301175835282454,-0.3198723200020583
5165,1,2,1,4,1,3,1,1.3104577007652365,0.7322007073372602,-0.16518891261085913
5473,0,8,1,0,7,4,0,-0.7509296816823438,-2.0421267634770066,-0.3048043911741535
3442,1,5,1,4,3,4,0,-0.5226976794893742,1.301175835282454,-0.796707388364398
3050,1,5,1,4,2,5,0,-0.5226976794893742,0.7322007073372602,-0.796707388364398
2877,1,5,1,4,3,5,0,-0.5226976794893742,1.301175835282454,-1.0880148803615513
4129,1,5,1,4,2,5,0,-0.5226976794893742,0.7322007073372602,0.959363234635779
613,1,6,1,4,3,3,5,-0.09966971927229715,-1.2834932595500816,-1.198062696213186
3305,1,5,1,4,3,4,0,0.6591977383551894,0.35288395537379746,0.07721508762706197
5097,1,5,2,4,5,4,1,2.1218952358926626,1.301175835282454,-0.8430332872471509
3478,1,5,1,4,3,4,0,1.0076061055857122,0.7322007073372602,-1.0880148803615513
4900,0,2,1,2,1,4,0,-0.7133958142200783,-0.026432796589665127,3.2287685114893145
6625,0,7,1,0,7,4,4,-0.7509296816823438,-2.0421267634770066,-0.6734535868669065
1748,1,6,1,4,3,3,5,1.0076061055857122,-0.14554300365969353,-1.198062696213186
7326,0,2,1,0,7,4,0,-0.7509296816823438,-2.0421267634770066,-0.913242066217619
6217,0,2,1,0,7,4,2,-0.20480987427217634,-2.0421267634770066,-0.3794042045306674
7050,0,5,2,4,7,3,1,-0.030605690656914895,1.8623206534617112,0.47401506362719864
2957,1,5,1,4,2,5,0,-1.584416732296385,0.35288395537379746,-0.21683429470917706
5777,0,5,1,1,1,4,0,0.12009123639396276,-0.7145181316048876,0.3966733599315991
2662,1,5,1,4,3,5,0,-0.17428931225885164,0.7322007073372602,0.07721508762706197
3244,1,5,1,4,2,5,0,-0.5226976794893742,0.35288395537379746,0.08544075864431919
3739,0,1,1,4,2,4,0,-1.7586209159116462,-0.1533733134256301,-0.8430332872471509
2154,1,5,1,4,3,5,0,-1.9328250995269078,0.35288395537379746,-0.2058667333528342
1344,0,5,1,0,3,3,1,1.3104577007652365,0.9140287735530548,-1.7370936716638257
7852,0,7,1,0,7,4,2,0.5375636322398677,-2.0421267634770066,-0.6734535868669065
6104,0,8,1,0,7,4,0,1.0076061055857122,-2.0421267634770066,-0.6734535868669065
4829,0,2,1,2,1,4,0,1.8786270236620188,-0.026432796589665127,0.8818572334775732
952,0,5,1,0,3,0,1,0.4394367826889296,0.5347120215895923,-0.674901728968094
6964,0,7,1,0,7,4,2,-0.7509296816823438,-2.0421267634770066,-0.6191926838813802
1504,0,5,1,0,3,0,1,0.5225274222021941,0.9140287735530548,0.5419736211188371
3410,1,5,1,4,3,5,0,-0.17428931225885164,1.1115174593007227,0.959363234635779
8076,0,5,1,4,8,1,2,1.5537259129958796,2.0796901921872464,0.5051951659026519
7165,0,8,1,0,7,4,0,0.2652325990736682,-2.0421267634770066,-0.38214609486975315
1121,0,5,1,0,2,0,1,0.5225274222021941,0.7243703975713236,-0.674901728968094
4766,0,2,1,2,1,5,0,-0.5767254980670828,0.7322007073372602,3.2287685114893145
4896,0,2,1,2,1,5,1,0.8334019219704508,0.7322007073372602,2.629702185460493
3941,0,2,1,2,1,4,1,0.8334019219704508,0.7322007073372602,2.629702185460493
3209,0,1,1,4,3,3,0,-0.8875999978353397,-0.3352013796414249,-0.8430332872471509
7919,1,5,2,4,7,4,4,1.1818102892009732,1.301175835282454,-0.8430332872471509
5286,1,2,1,4,1,4,1,0.4394367826889296,-0.026432796589665127,-1.3820642626977904
5642,0,2,1,2,1,5,4,0.8334019219704508,-0.21609117257139643,1.4699559981500512
416,1,3,1,4,6,4,0,-0.8875999978353397,-0.1533733134256301,-1.3820642626977904
4816,0,2,1,2,1,4,4,0.6967316058174551,-0.026432796589665127,3.2287685114893145
2431,1,5,1,4,2,5,0,-0.7509296816823438,0.35288395537379746,-0.2058667333528342
7871,0,5,1,4,0,4,2,1.5537259129958796,3.027982072095903,0.5051951659026519
564,1,0,1,4,3,3,3,2.2505426474569252,1.301175835282454,-1.020547991730168
2526,1,5,1,4,3,5,0,-1.7586209159116462,1.1115174593007227,-1.0907567707006371
1224,0,5,1,0,2,0,1,0.6136409663041908,1.2933455255165174,-0.5202183215768948
142,0,5,1,4,3,4,5,-1.1143742589505403,-1.2834932595500816,-1.198062696213186
4220,0,2,1,2,1,5,0,0.6967316058174551,0.7322007073372602,1.4699559981500512
1490,0,5,1,0,2,3,1,-0.34849349587411305,1.2933455255165174,-0.5202183215768948
6381,0,2,1,0,7,4,2,0.6136409663041908,-2.0421267634770066,-0.010755008837914495
3358,0,2,1,2,1,4,1,-1.7586209159116462,0.7322007073372602,0.8818572334775732
3861,1,5,1,4,2,4,0,-0.5226976794893742,1.301175835282454,0.08544075864431919
2653,1,5,1,4,2,5,0,1.0076061055857122,1.301175835282454,-1.0907567707006371
2004,1,6,1,4,3,4,5,1.7044228400467576,-0.14554300365969353,-1.198062696213186
1194,1,0,1,4,2,2,1,2.2505426474569252,-0.21609117257139643,-1.020547991730168
2955,1,5,1,4,3,4,0,-0.17428931225885164,0.35288395537379746,-1.0880148803615513
3043,1,5,1,4,2,4,0,1.0076061055857122,0.7322007073372602,-0.2058667333528342
1756,0,5,1,0,3,3,1,-0.34849349587411305,0.7243703975713236,-1.7370936716638257
497,1,0,1,4,3,3,1,1.0076061055857122,0.7322007073372602,-1.9066733720440707
2776,1,5,1,4,3,4,0,-0.4025213144518212,0.7322007073372602,-1.0880148803615513
2954,1,5,1,4,3,5,0,-1.9328250995269078,0.7322007073372602,-0.2058667333528342
7938,0,5,2,4,7,2,1,0.8404152274193919,1.8623206534617112,-0.665518582764133
912,1,3,1,4,2,2,1,-0.09966971927229715,-0.21609117257139643,-1.020547991730168
721,1,0,1,4,2,2,1,-0.09966971927229715,0.16322557939206617,-1.020547991730168
5918,1,2,1,4,1,4,5,-0.9706906373486036,0.7322007073372602,0.897003030084873
4411,1,2,1,4,1,4,5,-0.08317576815685446,-0.026432796589665127,-0.3198723200020583
1496,0,5,1,0,3,3,1,0.4394367826889296,0.5347120215895923,-0.674901728968094
7922,0,5,1,4,8,1,2,0.14359849295834642,2.0796901921872464,0.5051951659026519
1520,1,3,1,4,3,3,1,0.2942954200092241,0.35288395537379746,-1.020547991730168
5193,1,5,2,0,7,1,6,0.3178026765736078,1.301175835282454,0.7910188772216338
3527,1,5,1,4,2,4,0,0.8334019219704508,0.7322007073372602,-1.0907567707006371
4003,1,5,1,4,2,5,0,-0.5226976794893742,1.301175835282454,0.07721508762706197
6946,0,2,1,0,7,4,0,-1.144894820963865,-2.0421267634770066,-0.3794042045306674
6543,0,7,1,0,7,4,2,0.6591977383551894,-2.0421267634770066,-0.3794042045306674
108,1,0,1,4,3,3,3,2.6445077867384463,-0.21609117257139643,-1.020547991730168
1754,1,6,1,4,3,3,1,1.0076061055857122,-1.09383488356835,-1.198062696213186
6228,0,7,1,0,7,4,0,-0.7509296816823438,-2.0421267634770066,-0.0880967125335141
1351,0,5,1,0,3,3,1,0.6136409663041908,0.7243703975713236,0.5419736211188371
4595,0,2,1,2,1,4,1,0.6967316058174551,-0.21609117257139643,3.2287685114893145
4510,0,2,1,2,1,4,4,0.6967316058174551,0.7322007073372602,3.217800950132971
3608,0,2,1,2,1,5,4,-0.34849349587411305,0.7322007073372602,4.393998479477928
1973,1,5,1,4,2,5,0,-1.584416732296385,0.7322007073372602,-1.3820642626977904
336,1,0,1,4,2,5,1,-0.4025213144518212,1.301175835282454,-1.9066733720440707
5110,0,2,1,2,1,5,1,-0.5767254980670828,0.7322007073372602,2.6461535274950068
